Inhibitor	ID	DMOG_0h	DMOG_4h	DMOG_8h	DMOG_12h	DMOG_16h	DMOG_20h	DMOG_24h	DMOG_28h	DMOG_32h	DMOG_36h	DMOG_40h	DMOG_44h	DMOG_48h	DMOG_Log0h	DMOG_Log4h	DMOG_Log8h	DMOG_Log12h	DMOG_Log16h	DMOG_Log20h	DMOG_Log24h	DMOG_Log28h	DMOG_Log32h	DMOG_Log36h	DMOG_Log40h	DMOG_Log44h	DMOG_Log48h	DMOG_AUC4h	DMOG_AUC8h	DMOG_AUC12h	DMOG_AUC16h	DMOG_AUC20h	DMOG_AUC24h	DMOG_AUC28h	DMOG_AUC32h	DMOG_AUC36h	DMOG_AUC40h	DMOG_AUC44h	DMOG_AUC48h	DMOG_TotalAUC	siDMOG_0h	siDMOG_4h	siDMOG_8h	siDMOG_12h	siDMOG_16h	siDMOG_20h	siDMOG_24h	siDMOG_28h	siDMOG_32h	siDMOG_36h	siDMOG_40h	siDMOG_44h	siDMOG_48h	siDMOG_Log0h	siDMOG_Log4h	siDMOG_Log8h	siDMOG_Log12h	siDMOG_Log16h	siDMOG_Log20h	siDMOG_Log24h	siDMOG_Log28h	siDMOG_Log32h	siDMOG_Log36h	siDMOG_Log40h	siDMOG_Log44h	siDMOG_Log48h	siDMOG_AUC4h	siDMOG_AUC8h	siDMOG_AUC12h	siDMOG_AUC16h	siDMOG_AUC20h	siDMOG_AUC24h	siDMOG_AUC28h	siDMOG_AUC32h	siDMOG_AUC36h	siDMOG_AUC40h	siDMOG_AUC44h	siDMOG_AUC48h	siDMOG_TotalAUC
R428	SA02	0.95418941	0.964839063	1.034488729	0.907237467	0.877817952	0.981988959	0.906988062	0.888131913	1.061615151	1.076238132	1.114082296	1.163227129	1.118186422	-0.020365408	-0.015545122	0.014725763	-0.042279023	-0.056595542	-0.007893395	-0.042398429	-0.051522524	0.025967108	0.031908375	0.046917273	0.065664522	0.048514214	-0.071821059	-0.001638717	-0.055106519	-0.197749129	-0.128977874	-0.100583649	-0.187841907	-0.051110833	0.115750967	0.157651297	0.22516359	0.228357473	-0.067906358	0.868822597	0.969657338	0.967104031	0.946928946	0.912484215	0.896355212	0.896532359	0.899103544	0.898921829	0.904773474	0.918695511	0.985794242	0.936873939	-0.061068892	-0.013381712	-0.014526807	-0.023682608	-0.03977464	-0.047519852	-0.047434031	-0.04619029	-0.046278073	-0.04346014	-0.036828406	-0.006213723	-0.028318842	-0.148901208	-0.055817036	-0.076418828	-0.126914494	-0.174588983	-0.189907765	-0.187248642	-0.184936727	-0.179476427	-0.160577092	-0.086084257	-0.069065129	-1.63993659
Purvalanol B	SA03	1.142905761	1.127674348	1.154430252	1.060644325	0.909344699	1.24980355	0.993259427	1.042759764	1.086787907	0.940869827	1.00993818	1.093763554	0.810141908	0.058010422	0.052183701	0.062367699	0.025569773	-0.041271461	0.096841754	-0.002937304	0.018184265	0.036144797	-0.026470459	0.004294791	0.038923448	-0.091438902	0.220388246	0.229102801	0.175874943	-0.031403376	0.111140587	0.187808899	0.030493921	0.108658125	0.019348677	-0.044351336	0.086436477	-0.105030907	0.988467057	0.944033312	0.995700184	0.994982846	0.970060468	0.968130199	0.956159146	0.968271466	1.026276583	1.040159149	1.096405538	1.13334695	1.176513225	1.180063862	-0.025012681	-0.001871413	-0.002184407	-0.013201193	-0.014066233	-0.019469816	-0.014002866	0.01126442	0.017099793	0.039971221	0.05436288	0.070596813	0.071905511	-0.053768186	-0.008111639	-0.0307712	-0.054534852	-0.067072098	-0.066945365	-0.005476893	0.056728426	0.114142028	0.188668201	0.249919387	0.285004648	0.607782457
NVP-BGJ398	SA04	0.84147096	0.838488678	0.985149488	0.639273124	0.835858868	0.847929924	0.877401737	0.802203477	0.862819673	0.886686597	0.879810919	1.015481182	0.899336228	-0.074960867	-0.076502797	-0.006497864	-0.194313554	-0.077867046	-0.071640038	-0.05680151	-0.09571546	-0.064079961	-0.052229856	-0.055610652	0.00667188	-0.046077912	-0.302927329	-0.166001323	-0.401622835	-0.544361198	-0.299014167	-0.256883096	-0.30503394	-0.319590842	-0.232619635	-0.215681017	-0.097877545	-0.078812063	-3.220424992	0.910188712	0.95562083	0.998772176	0.957011767	0.922537174	0.926009394	1.014406555	1.010803257	0.998396997	1.002883932	1.048915209	1.051730487	1.059202392	-0.040868555	-0.019714392	-0.000533565	-0.019082722	-0.035016125	-0.033384608	0.006212047	0.004666633	-0.000696734	0.001250673	0.020740383	0.021904463	0.024978953	-0.121165894	-0.040495914	-0.039232574	-0.108197694	-0.136801465	-0.054345121	0.021757359	0.007939797	0.001107879	0.043982112	0.085289692	0.093766832	-0.246394993
Tofacitinib	SA05	0.94056905	0.937464352	0.868653988	0.843110667	0.733450427	0.896839495	1.000177632	0.877378718	0.867162976	0.883905128	1.129087761	0.928653676	0.743579923	-0.026609316	-0.028045238	-0.061153182	-0.074115416	-0.134629234	-0.047285275	7.71377E-05	-0.056812904	-0.061899273	-0.053594347	0.0527277	-0.032146218	-0.128672345	-0.109309108	-0.17839684	-0.270537196	-0.4174893	-0.363829018	-0.094416274	-0.113471533	-0.237424354	-0.230987239	-0.001733293	0.041162964	-0.321637125	-2.298068316	0.920176819	1.002310238	1.0143762	0.998729821	1.025993606	1.028744413	1.059539403	1.067025499	1.079688941	1.106117492	1.17580404	1.163026577	1.127503601	-0.036128712	0.001002166	0.006199051	-0.000551982	0.011144654	0.01230749	0.025117112	0.028174798	0.033298653	0.04380126	0.070334948	0.065589639	0.052117938	-0.07025309	0.014402435	0.011294137	0.021185344	0.046904288	0.074849204	0.10658382	0.122946902	0.154199827	0.228272417	0.271849174	0.235415154	1.21764961
TAK-715	SA06	0.980536066	0.967905872	0.934157663	0.853241247	0.792411648	1.1120624	1.136981972	1.042894623	0.950125478	1.087185931	1.007171654	1.033330572	0.919536306	-0.008536428	-0.014166875	-0.029579819	-0.068928158	-0.101049149	0.046129157	0.055753579	0.018240428	-0.022219036	0.036303824	0.003103494	0.014239279	-0.036431119	-0.045406606	-0.087493389	-0.197015955	-0.339954615	-0.109839984	0.203765471	0.147988014	-0.007957215	0.028169575	0.078814636	0.034685546	-0.044383681	-0.338628203	0.940984349	1.020273731	1.033686328	1.010554815	0.971964032	0.967515962	0.980463155	0.974382027	0.971357696	0.971485904	0.999159105	0.984909489	1.005352848	-0.0264176	0.008716705	0.014388772	0.004559876	-0.012349806	-0.014341861	-0.008568722	-0.011270735	-0.012620815	-0.012563497	-0.00036535	-0.006603678	0.002318513	-0.03540179	0.046210954	0.037897296	-0.015579861	-0.053383335	-0.045821167	-0.039678915	-0.0477831	-0.050368622	-0.025857692	-0.013938056	-0.008570332	-0.25227462
PP242	SA07	0.828252843	0.777473853	0.890322208	1.027928105	0.901390824	0.925032815	0.889748172	0.852351859	0.804663351	0.640368406	0.656844907	0.755296174	0.673849442	-0.081837065	-0.109314208	-0.050452794	0.01196274	-0.045086867	-0.033842861	-0.050732896	-0.069381087	-0.094385778	-0.193570103	-0.182537163	-0.121882715	-0.171437127	-0.382302545	-0.319534002	-0.076980106	-0.066248254	-0.157859456	-0.169151512	-0.240227966	-0.327533732	-0.575911763	-0.752214533	-0.608839757	-0.586639684	-4.26344331	0.834980486	0.974625407	0.983960687	0.996072792	1.009483163	1.028411297	1.038506085	1.052863041	1.032840483	1.013101997	1.003542792	0.982979034	0.962055757	-0.078323674	-0.011162271	-0.007022253	-0.001708923	0.00409908	0.012166839	0.016409046	0.022371881	0.014033252	0.005653171	0.001535896	-0.007455745	-0.016799757	-0.178971891	-0.036369049	-0.017462351	0.004780314	0.032531837	0.057151769	0.077561853	0.072810266	0.039372847	0.014378135	-0.011839698	-0.048511005	0.005433026
GDC-0941	SA08	0.941107347	0.957150718	1.164527807	0.993009398	0.878151069	1.043825949	0.859540578	1.05385413	1.015470972	1.043729733	1.085303654	1.13657411	0.898692235	-0.026360836	-0.019019671	0.066149863	-0.003046641	-0.056430766	0.018628089	-0.065733616	0.022780502	0.006667513	0.018588056	0.035551265	0.055597759	-0.046389011	-0.090761013	0.094260385	0.126206444	-0.118954814	-0.075605353	-0.094211054	-0.085906228	0.05889603	0.050511138	0.108278641	0.182298048	0.018417497	0.173429721	0.913531384	0.978465094	0.962817611	0.956050145	0.947780414	0.96570257	0.97389665	0.971894158	0.966978036	0.982688116	0.994141505	1.028662588	1.022517561	-0.039276528	-0.009454663	-0.016455975	-0.019519328	-0.02329227	-0.015156613	-0.011487128	-0.012381028	-0.01458339	-0.007584296	-0.002551794	0.012272945	0.009670775	-0.097462382	-0.051821275	-0.071950606	-0.085623197	-0.076897766	-0.053287482	-0.047736313	-0.053928838	-0.044335373	-0.02027218	0.019442302	0.043887441	-0.539985669
(R)-BI-2536	SA09	0.820253183	0.788259789	0.830135109	0.919050268	0.945870027	0.901391794	0.916211344	0.850094035	0.883641152	0.923112629	0.815877737	0.905753599	0.861998155	-0.086052076	-0.103330627	-0.080851218	-0.036660734	-0.024168536	-0.0450864	-0.038004335	-0.070533031	-0.053724067	-0.034745307	-0.088374917	-0.042989932	-0.064493664	-0.378765406	-0.368363691	-0.235023904	-0.121658541	-0.138509873	-0.166181471	-0.217074733	-0.248514196	-0.176938749	-0.24624045	-0.262729698	-0.214967191	-2.774967901	1.01425252	1.094997935	1.102584406	1.08683696	1.050790633	1.026768471	1.02639163	1.030165885	1.032751885	1.027066772	1.030284204	1.029631055	1.019838189	0.006146095	0.0394133	0.042411846	0.036164399	0.021516193	0.011472524	0.011313102	0.012907164	0.013995996	0.011598679	0.012957041	0.012681633	0.008531271	0.091118791	0.163650292	0.15715249	0.115361183	0.065977434	0.045571252	0.048440531	0.05380632	0.051189351	0.049111441	0.051277349	0.042425807	0.935082241
GNF-5837	SA10	1.386850351	1.375710587	1.335529886	1.32949702	1.444494365	1.30047614	1.246737992	1.18437034	1.017375572	0.954209009	0.931134095	0.92520153	0.819399701	0.142029601	0.138527079	0.125653611	0.123687368	0.159715852	0.114102389	0.095775194	0.073487523	0.007481306	-0.020356487	-0.030987771	-0.033763658	-0.086504199	0.56111336	0.528361381	0.498681958	0.56680644	0.547636481	0.419755165	0.338525434	0.161937657	-0.025750364	-0.102688516	-0.129502857	-0.240535713	3.124340427	0.9948934	1.097058506	1.081462559	1.058875184	1.077283113	1.067592667	1.076210722	1.098368141	1.093539322	1.138071146	1.149007068	1.169862262	1.163252461	-0.00222345	0.040229789	0.034011488	0.02484477	0.032329852	0.028405582	0.031897314	0.040747927	0.038834404	0.056169413	0.0603227	0.068134732	0.06567398	0.076012678	0.148482555	0.117712517	0.114349245	0.121470868	0.120605793	0.145290484	0.159164663	0.190007634	0.232984226	0.256914863	0.267617423	1.950612949
Axitinib	SA11	1.131219596	1.156229731	1.099389375	1.199484951	1.026146533	1.098006059	0.874535479	0.798817463	0.845293677	1.001354101	1.238809483	1.212529216	1.297496801	0.05354692	0.063044133	0.041151535	0.078994804	0.011209382	0.040604737	-0.058222567	-0.09755245	-0.07299238	0.000587681	0.093004521	0.083692212	0.113106296	0.233182105	0.208391336	0.240292678	0.180408371	0.103628238	-0.035235661	-0.311550033	-0.341089658	-0.144809398	0.187184404	0.353393466	0.393597015	1.067392863	0.881771708	1.009745414	0.985423629	1.042126708	0.991965033	0.983739174	0.989780664	0.989659955	0.99078773	0.988672479	0.994194342	0.988849639	1.013112244	-0.05464384	0.004211889	-0.006377028	0.017920526	-0.003503637	-0.007120034	-0.004461035	-0.004514002	-0.00401938	-0.004947555	-0.002528713	-0.004869741	0.005657564	-0.100863901	-0.004330278	0.023086996	0.028833779	-0.021247341	-0.023162137	-0.017950074	-0.017066766	-0.01793387	-0.014952535	-0.014796907	0.001575647	-0.178807387
MK-2461	SA12	1.131083916	1.126436532	1.072724306	0.978308081	1.015344613	0.99425112	1.016594287	1.896848899	1.403714537	1.477351543	0.990555129	0.992452881	0.905723569	0.053494827	0.051706727	0.030488121	-0.009524359	0.006613469	-0.002503911	0.007147665	0.278032737	0.147278798	0.16948385	-0.004121349	-0.003290103	-0.043004331	0.210403107	0.164389696	0.041927524	-0.00582178	0.008219116	0.009287507	0.570360803	0.850623069	0.633525295	0.330725002	-0.014822904	-0.092588868	2.706227567	1.038499186	1.133935249	1.124809836	1.131119586	1.103377367	1.127594603	1.146293935	1.198361698	1.235900113	1.227862776	1.254624356	1.24212065	1.221144873	0.01640616	0.054588256	0.051079105	0.053508523	0.042724071	0.052152989	0.059295995	0.07858792	0.091983372	0.089149833	0.098513714	0.094163782	0.08676719	0.141988832	0.211334722	0.209175256	0.192465188	0.18975412	0.222897966	0.275767828	0.341142583	0.362266411	0.375327095	0.385354992	0.361861945	3.269336939
A-674563 HCl	SB01	1.06287343	1.03610596	1.082789587	1.028033837	0.979355088	0.998344157	1.025067034	0.91620956	1.001862407	0.864757147	0.812965324	0.753959642	0.70807341	0.026481551	0.015404172	0.034544071	0.012007409	-0.009059816	-0.00071972	0.010752267	-0.038005181	0.000808081	-0.06310584	-0.089927978	-0.1226519	-0.149921714	0.083771445	0.099896485	0.09310296	0.005895187	-0.019559071	0.020065095	-0.054505828	-0.0743942	-0.124595518	-0.306067637	-0.425159757	-0.545147229	-1.24669807	0.840384672	0.942094066	0.941923542	0.954644327	0.956458009	0.965732253	0.994937483	0.998166386	0.992634165	0.990726086	0.999281383	0.992655163	0.98996655	-0.075521877	-0.025905732	-0.025984348	-0.020158404	-0.019334092	-0.015143264	-0.002204207	-0.000797059	-0.003210781	-0.004046402	-0.000312204	-0.003201594	-0.00437948	-0.202855218	-0.10378016	-0.092285505	-0.078984992	-0.068954712	-0.034694943	-0.006002534	-0.008015681	-0.014514366	-0.008717211	-0.007027596	-0.015162148	-0.640995063
ABT-737	SB02	1.252987877	1.237915482	1.024967157	1.041092503	1.037508636	0.871056633	1.118740067	1.014307477	1.068317701	1.006408081	1.02868049	0.986161999	0.978032157	0.097946869	0.092690994	0.01070995	0.017489319	0.01599172	-0.059953608	0.048729192	0.006169627	0.028700424	0.002774115	0.012280503	-0.006051737	-0.009646866	0.381275727	0.206801888	0.056398537	0.066962079	-0.087923775	-0.022448831	0.109797639	0.069740102	0.062949079	0.030109237	0.012457533	-0.031397205	0.854722011	0.91698333	0.985984299	0.983236416	0.967092714	0.957232458	0.94083052	0.945532887	0.947694258	0.946667733	0.940374697	0.95864903	0.956114074	0.947175086	-0.037638559	-0.006130001	-0.007342045	-0.014531889	-0.018982584	-0.026488603	-0.024323361	-0.023331751	-0.023802425	-0.026699065	-0.018340363	-0.019490289	-0.023569734	-0.08753712	-0.026944091	-0.043747867	-0.067028945	-0.090942373	-0.101623928	-0.095310224	-0.094268352	-0.101002981	-0.090078856	-0.075661304	-0.086120046	-0.960266087
