Inhibitor	ID	TGFB_0h	TGFB_4h	TGFB_8h	TGFB_12h	TGFB_16h	TGFB_20h	TGFB_24h	TGFB_28h	TGFB_32h	TGFB_36h	TGFB_40h	TGFB_44h	TGFB_48h	TGFB_Log0h	TGFB_Log4h	TGFB_Log8h	TGFB_Log12h	TGFB_Log16h	TGFB_Log20h	TGFB_Log24h	TGFB_Log28h	TGFB_Log32h	TGFB_Log36h	TGFB_Log40h	TGFB_Log44h	TGFB_Log48h	TGFB_AUC4h	TGFB_AUC8h	TGFB_AUC12h	TGFB_AUC16h	TGFB_AUC20h	TGFB_AUC24h	TGFB_AUC28h	TGFB_AUC32h	TGFB_AUC36h	TGFB_AUC40h	TGFB_AUC44h	TGFB_AUC48h	TGFB_TotalAUC	siTGFB_0h	siTGFB_4h	siTGFB_8h	siTGFB_12h	siTGFB_16h	siTGFB_20h	siTGFB_24h	siTGFB_28h	siTGFB_32h	siTGFB_36h	siTGFB_40h	siTGFB_44h	siTGFB_48h	siTGFB_Log0h	siTGFB_Log4h	siTGFB_Log8h	siTGFB_Log12h	siTGFB_Log16h	siTGFB_Log20h	siTGFB_Log24h	siTGFB_Log28h	siTGFB_Log32h	siTGFB_Log36h	siTGFB_Log40h	siTGFB_Log44h	siTGFB_Log48h	siTGFB_AUC4h	siTGFB_AUC8h	siTGFB_AUC12h	siTGFB_AUC16h	siTGFB_AUC20h	siTGFB_AUC24h	siTGFB_AUC28h	siTGFB_AUC32h	siTGFB_AUC36h	siTGFB_AUC40h	siTGFB_AUC44h	siTGFB_AUC48h	siTGFB_TotalAUC
R428	SA02	1.18147161	1.15942645	1.098318127	0.866611701	0.792916997	1.117816973	0.997306521	0.812347477	0.96116572	0.838111353	0.77681864	0.872959447	0.733369692	0.07242329	0.064243204	0.040728151	-0.062175451	-0.100772272	0.0483707	-0.001171341	-0.090258164	-0.017201727	-0.076698276	-0.109680362	-0.059005931	-0.134677042	0.273332988	0.20994271	-0.0428946	-0.325895448	-0.104803146	0.094398717	-0.182859011	-0.214919781	-0.187800006	-0.372757277	-0.337372586	-0.387365946	-1.578993385	1.023619316	1.002274304	0.963497694	0.962108859	0.983367833	1.03003134	1.100518312	1.015187418	0.972085412	0.932039054	0.886529473	0.819007485	0.745683291	0.010138473	0.000986596	-0.01614932	-0.016775786	-0.007284002	0.012850439	0.041597273	0.006546227	-0.012295574	-0.03056589	-0.052306822	-0.086712129	-0.127445588	0.022250138	-0.030325448	-0.065850214	-0.048119577	0.011132874	0.108895424	0.096287	-0.011498695	-0.085722928	-0.165745422	-0.278037901	-0.428315435	-0.875050185
Purvalanol B	SA03	0.936441086	0.932239459	0.898975857	0.839392558	0.808500763	0.800517219	0.787837869	0.749914422	0.744399079	0.794841556	0.779193423	0.775318877	0.698442382	-0.02851954	-0.030472519	-0.046251972	-0.076034886	-0.092319566	-0.096629322	-0.103563148	-0.124988294	-0.128194173	-0.099719435	-0.108354722	-0.110519642	-0.155869415	-0.117984117	-0.15344898	-0.244573714	-0.336708903	-0.377897776	-0.40038494	-0.457102884	-0.506364934	-0.455827216	-0.416148314	-0.437748728	-0.532778114	-4.43696862	0.982714895	0.944662494	0.901152951	0.891407115	0.913553127	0.936046975	0.944213228	0.896883737	0.864807715	0.854180319	0.829544831	0.798382315	0.748303162	-0.007572461	-0.024723327	-0.045201491	-0.049923904	-0.039266192	-0.028702356	-0.02492992	-0.047263851	-0.063080445	-0.068450439	-0.081160138	-0.097789092	-0.12592242	-0.064591577	-0.139849636	-0.190250789	-0.178380191	-0.135937095	-0.107264551	-0.144387541	-0.220688591	-0.263061768	-0.299221156	-0.35789846	-0.447423023	-2.548954377
NVP-BGJ398	SA04	1.06177949	1.037644696	1.025553102	1.01255726	0.914333617	0.855011383	0.848580894	0.859497548	0.920163753	0.896621809	0.881439235	0.872334621	0.785883469	0.026034332	0.01604867	0.010958153	0.005419592	-0.038895312	-0.068028103	-0.071306751	-0.065755358	-0.036134878	-0.047390702	-0.054807622	-0.059316891	-0.104641846	0.084166005	0.054013646	0.032755489	-0.066951441	-0.213846831	-0.278669708	-0.274124217	-0.203780473	-0.16705116	-0.204396647	-0.228249026	-0.327917475	-1.794051839	0.946409977	0.913976878	0.876501193	0.878957538	0.903023254	0.922462512	0.927893599	0.913555609	0.911272757	0.916872963	0.913655811	0.899036629	0.861411661	-0.02392069	-0.039064791	-0.057247488	-0.056032105	-0.044301066	-0.035051274	-0.032501821	-0.039265012	-0.040351613	-0.037690834	-0.039217379	-0.046222614	-0.064789253	-0.125970962	-0.192624559	-0.226559187	-0.200666342	-0.15870468	-0.135106191	-0.143533666	-0.159233249	-0.156084893	-0.153816426	-0.170879986	-0.222023734	-2.045203874
Tofacitinib	SA05	1.003928359	0.955001126	1.021518	0.911814252	0.94782337	1.003056902	1.098506485	1.030154856	1.006565717	1.074278914	0.946306908	0.954751294	0.802783803	0.001702722	-0.019996116	0.009246024	-0.040093624	-0.023272587	0.001325571	0.040802625	0.012902514	0.002842135	0.031117051	-0.02396799	-0.020109744	-0.095401398	-0.036586788	-0.021500185	-0.0616952	-0.126732422	-0.043894033	0.084256391	0.107410278	0.031489297	0.067918372	0.014298124	-0.088155468	-0.231022286	-0.30421392	1.015317609	0.999640724	0.985338512	0.997857305	0.999166306	1.002534252	1.016044168	1.019108201	0.993009295	0.968442841	0.927330757	0.885085669	0.82559202	0.006601918	-0.00015606	-0.006414542	-0.000931559	-0.00036222	0.001099219	0.006912587	0.008220296	-0.003046686	-0.013926007	-0.032765336	-0.053014691	-0.083234513	0.012891717	-0.013141204	-0.014692203	-0.002587557	0.001473999	0.016023614	0.030265768	0.01034722	-0.033945386	-0.093382685	-0.171560054	-0.272498409	-0.53080518
TAK-715	SA06	0.968135767	0.961023125	0.940511836	0.880055441	0.890312443	0.880574477	0.872882954	0.849017381	0.847796752	0.847468557	0.860829398	0.971189051	0.919235183	-0.014063735	-0.017266162	-0.026635735	-0.055489968	-0.050457557	-0.055233906	-0.059043987	-0.071083419	-0.071708252	-0.071876406	-0.06508291	-0.012696222	-0.036573362	-0.062659793	-0.087803793	-0.164251405	-0.211895049	-0.211382927	-0.228555788	-0.260254813	-0.285583341	-0.287169315	-0.273918632	-0.155558265	-0.098539168	-2.327572289	1.005121669	0.973247701	0.960862711	0.959279742	0.960956001	0.929547299	0.893854393	0.860188075	0.855689879	0.844052715	0.80811656	0.77039536	0.70542406	0.002218636	-0.011776613	-0.01733866	-0.018054727	-0.017296497	-0.031728507	-0.048733221	-0.065406582	-0.067683605	-0.073630429	-0.092525994	-0.113286342	-0.151549732	-0.019115955	-0.058230548	-0.070786774	-0.070702447	-0.098050007	-0.160923456	-0.228279607	-0.266180374	-0.282628067	-0.332312845	-0.41162467	-0.529672147	-2.528506898
PP242	SA07	1.123398302	1.094971723	1.011207216	0.961561038	0.861215255	0.763034196	0.756468288	0.731627896	0.730707277	0.734636002	0.813938394	0.991884346	0.672135127	0.050533763	0.039402904	0.00484016	-0.017023142	-0.064888286	-0.117455998	-0.121209273	-0.135709744	-0.136256568	-0.133927792	-0.089408465	-0.003538964	-0.172543407	0.179873334	0.088486128	-0.024365965	-0.163822857	-0.364688569	-0.477330543	-0.513838034	-0.543932623	-0.540368719	-0.446672515	-0.185894858	-0.352164741	-3.344719962	1.077586635	1.094328288	1.081712719	1.071509513	1.16977099	1.193344969	1.231070922	1.173920042	1.08877402	1.061214335	0.989761231	0.907516172	0.850662622	0.032452196	0.039147626	0.034111936	0.029996031	0.068100847	0.076766007	0.090283073	0.069638517	0.036937749	0.025803108	-0.004469562	-0.042145627	-0.07024265	0.143199644	0.146519124	0.128215935	0.196193756	0.289733707	0.33409816	0.319843181	0.213152533	0.125481714	0.042667093	-0.093230377	-0.224776553	1.621097916
GDC-0941	SA08	0.945991974	0.901297547	0.945941977	0.916323266	0.887329818	0.886239815	0.881248947	0.869875921	0.914204048	0.88060779	0.844317765	0.864053773	0.740772263	-0.024112548	-0.045131811	-0.024135502	-0.037951286	-0.051914924	-0.052448743	-0.054901389	-0.060542691	-0.03895686	-0.055217477	-0.073494073	-0.063459229	-0.130315287	-0.138488718	-0.138534626	-0.124173576	-0.179732421	-0.208727334	-0.214700264	-0.230888159	-0.198999101	-0.188348674	-0.2574231	-0.273906604	-0.387549033	-2.54147161	0.936041553	0.930151728	0.886709157	0.878120029	0.874960287	0.876661514	0.874958992	0.854432842	0.836247005	0.819984247	0.795915423	0.766938902	0.716200545	-0.028704872	-0.031446203	-0.052218807	-0.056446117	-0.058011658	-0.057168059	-0.058012301	-0.068322067	-0.077665425	-0.086194491	-0.09913308	-0.115239233	-0.144965353	-0.120302149	-0.167330019	-0.217329847	-0.228915551	-0.230359435	-0.23036072	-0.252668736	-0.291974983	-0.327719831	-0.370655141	-0.428744624	-0.520409171	-3.386770207
(R)-BI-2536	SA09	0.967728297	0.969685968	0.935944933	0.829468477	0.769060516	0.861083818	0.865278298	0.879927227	0.857311427	0.843252347	0.825236023	0.891901602	0.796532671	-0.01424656	-0.013368889	-0.028749703	-0.081200114	-0.114039485	-0.064954572	-0.062844189	-0.055553244	-0.066861388	-0.074042441	-0.083421823	-0.049683056	-0.098796406	-0.055230897	-0.084237183	-0.219899633	-0.390479198	-0.357988114	-0.255597522	-0.236794865	-0.244829263	-0.281807658	-0.314928528	-0.266209757	-0.296958925	-3.004961544	0.929986176	0.919019611	0.884397201	0.873984258	0.900753528	0.916124239	0.919800875	0.933334313	0.98863468	0.945070134	0.886482006	0.795483659	0.746066587	-0.031523507	-0.036675221	-0.053352641	-0.05849639	-0.045394028	-0.038045626	-0.036306182	-0.029962768	-0.004964159	-0.024535961	-0.052330075	-0.099368737	-0.12722241	-0.136397456	-0.180055723	-0.223698061	-0.207780836	-0.166879308	-0.148703615	-0.132537898	-0.069853853	-0.059000241	-0.153732073	-0.303397625	-0.453182294	-2.235218984
GNF-5837	SA10	1.175992119	1.158526423	1.047034006	1.019281584	0.990025896	0.974054007	0.855493402	0.932426661	0.946847097	0.947778498	0.996573726	0.986589631	0.964072558	0.070404411	0.063905943	0.019960787	0.008294178	-0.004353445	-0.011416963	-0.067783336	-0.030385317	-0.023720148	-0.023293148	-0.001490567	-0.005863453	-0.015890279	0.268620709	0.167733461	0.056509929	0.007881464	-0.031540816	-0.158400597	-0.196337305	-0.10821093	-0.094026593	-0.04956743	-0.01470804	-0.043507465	-0.195553613	0.966533013	0.926011948	0.886651091	0.881334818	0.897023153	0.94255747	0.945196403	0.920401679	0.891107358	0.856484375	0.819797641	0.742546885	0.689288135	-0.014783308	-0.03338341	-0.052247247	-0.054859072	-0.047196347	-0.02569216	-0.02447794	-0.036022598	-0.05006997	-0.067280556	-0.086293336	-0.129276119	-0.161599197	-0.096333435	-0.171261314	-0.214212639	-0.204110839	-0.145777015	-0.1003402	-0.121001075	-0.172185136	-0.234701052	-0.307147783	-0.43113891	-0.581750633	-2.779960031
Axitinib	SA11	0.945953738	0.970911866	0.981533298	0.93310491	0.94635034	0.952981958	0.939035869	0.90320261	0.874425998	0.856897209	0.836606399	0.843488057	0.742693161	-0.024130102	-0.012820191	-0.008094963	-0.030069525	-0.023948058	-0.020915321	-0.027317818	-0.044214816	-0.058276939	-0.067071272	-0.077478818	-0.073921062	-0.129190575	-0.073900587	-0.041830308	-0.076328976	-0.108035166	-0.089726758	-0.09646628	-0.143065269	-0.204983509	-0.250696421	-0.289100179	-0.30279976	-0.406223275	-2.083156487	0.958015328	0.937111859	0.944100315	0.976146686	0.979049832	1.05533811	1.078704835	0.968162473	0.927282929	0.878195589	0.823961273	0.799991825	0.74453207	-0.018627542	-0.028208566	-0.024981857	-0.010484916	-0.009195203	0.023391622	0.032902625	-0.014051755	-0.032787735	-0.056408749	-0.0840932	-0.096914451	-0.128116591	-0.093672217	-0.106380847	-0.070933547	-0.039360237	0.028392837	0.112588494	0.037701741	-0.093678981	-0.178392968	-0.281003897	-0.362015302	-0.450062083	-1.496817008
